語	品詞	語ソース	推定執筆日	議論ソース	意味（日）	意味（理）	語源（理）	［意味≠語源の時］語源の和訳	備考や案件
LAUNZAKANTE	名詞	我々の遊戯-text	2023/05/01		下記		LAUNZA.pmcf + KANTE.pmcf		
LAPEKANTE	名詞	我々の遊戯-text	2023/05/01		上記		LAPE.pmcf + KANTE.pmcf		
INIMOC	名詞	我々の遊戯-text	2023/04/30		資源、材料	inimors, fadilsta	inimors	資源、資料	
PENXE-IT	動詞	我々の遊戯-text	2023/04/30		運ぶ	（左に同じ）	fenxe		
INPEL-IT	動詞	我々の遊戯-text	2023/04/30		交換する	（左に同じ）	inferln		
LIME	名詞	我々の遊戯-text	2023/04/30		道	（左に同じ）	lime		
E NUDELEC	動詞	我々の遊戯-text	2023/04/30		不要である	es niv delusen	NU.pmcf +DELEC.pmcf		
E DELEC	動詞	我々の遊戯-text	2023/04/30		必要である	es delusen	deles	必要とする	
DEXAMOCEL	名詞	我々の遊戯-text	2023/04/30		コスト		dexamolserl	消費されるもの	
MOLKA	名詞	我々の遊戯-text	2023/04/30		勝利	molkkavo	molkka	勝利する	
CUCNIT	動詞	我々の遊戯-text	2023/04/30		～を掛け算する		stusni	(-'sは-'iと-'cを)掛けたものである	本来 E CUCNI - CUCNIIT と綴られるべき語だが、自動詞で用いることがないため CUCNIT と綴る。
NIP-NOLE	副詞	我々の遊戯-text	2023/04/30		すぐに	etixon	NIP.pmcf + NOLE.pmcf		
E ZEL	動詞	我々の遊戯-text	2023/04/30		続く	（左に同じ）	zel		
E BILATE	動詞	我々の遊戯-text	2023/04/30		組み合わさる		virlarte	組み合わせる	
NUCUCITAL	名詞	我々の遊戯-text	2023/04/30		端		NU.pmcf + CUCITAL.pmcf		
CUCITAL	名詞	我々の遊戯-text	2023/04/30		中央	sysit	sysit + -al	中心	「虎」との衝突を避けた
LAIJU LETI KIN	複合名詞	我々の遊戯-text	2023/04/30		連番		E LAIJU.pmcf + KIN.pmcf		
E LAIJU	動詞	我々の遊戯-text	2023/04/30		並ぶ	laozia leiju, en leiju'c, es fal leiju	leiju		
LAIJU	名詞	我々の遊戯-text	2023/04/30		列、行列、順番	（左に同じ）	leiju		
LAP	副詞	我々の遊戯-text	2023/04/30		だけ	（左に同じ）	lap		
CEKEL	名詞	我々の遊戯-text	2023/04/30		報酬、配当		cergel	お返し、報酬	
TEK	名詞	我々の遊戯-text	2023/04/30		合計、和	（左に同じ）	terk		
XILEJA	名詞	我々の遊戯-text	2023/04/30		オモテ		xlear	表面	
E KANICITI	動詞	我々の遊戯-text	2023/04/30		有名な、人気がある	（左に同じ）	kaniciti		
CUBELPIC	名詞	我々の遊戯-text	2023/04/30		賭博	velfezaino	su1.pk + BELPIC.pmcf		
E CUTEWEN	動詞	我々の遊戯-text	2023/04/30		平らな	（左に同じ）	stlerven		
E CIKINA	動詞	我々の遊戯-text	2023/04/30		（困難を）避ける	（左に同じ）	cikina		
E DELEJE	動詞	我々の遊戯-text	2023/04/30		引き分けの	（左に同じ）	deleje		
ZELENA	名詞	我々の遊戯-text	2023/04/30		階級、強弱、（NLETI ZELENAで）N番目		zelerna	境遇、経緯、状況	
TECNOK	名詞	我々の遊戯-text	2023/04/29		右	（左に同じ）	tesnok		
JUCNE	名詞	我々の遊戯-text	2023/04/29		度量衡の単位	（左に同じ）	jysnej		
PAMEC-IT	動詞	我々の遊戯-text	2023/04/29		〜を許可する、〜を許す	（左に同じ）	farmes		
LUKXE	名詞	我々の遊戯-text	2023/04/29		塔、山札	luhxe, inivepalea (l'ekcan vepalea fua fix'onemo)	luhxe	塔；接地面が小さくたてに長い構造物	
PALBITIXUMO	名詞	我々の遊戯-text	2023/04/29		経路		falvitisiumo	経路、航空路	
E KANKILE	名詞	我々の遊戯-text	2023/04/29		一時的だ		hankirle	一時的に	
WACPALBIT	名詞	我々の遊戯-text	2023/04/29		変種、バリエーション	（左に同じ）	waxfalvit		
E KINUNZA	動詞	我々の遊戯-text	2023/04/29		公開する、開示する	（左に同じ）	kinunsares		
E MOWI	動詞	我々の遊戯-text	2023/04/29		愚かだ	es etxaata	movi	馬鹿、バカ、愚か	
PANXENCO	名詞	我々の遊戯-text	2023/04/29		乱数	（左に同じ）	fanxensor		
KINPECELA	名詞	我々の遊戯-text	2023/04/29		得点システム、（会社とかでの）評価制度	（左に同じ）	KIN.pmcp + PECELA.pmcp		
PICE	名詞	我々の遊戯-text	2023/04/28		獣	（左に同じ）	pyse		
manicoma	名詞	我々の遊戯-text	2023/4/28		マニソマ	（左に同じ）	manicoma		
azepete	名詞	我々の遊戯-text	2023/4/28		アツェフェーテ（ボードゲーム名）	（左に同じ）	azeferte		
e xenkan	動詞	我々の遊戯-text	2023/4/16		無視する	（左に同じ）	xelnkan		
cecijo	名詞	我々の遊戯-text	2023/4/16		間	laisi'a	cecio		
untik	名詞接尾辞	我々の遊戯-text	2023/4/16		自身	（左に同じ）	untirk		Noun UNTIK であり Noun LETI UNTIK ではない
awi	名詞	我々の遊戯-text	2023/4/16		段階	（左に同じ）	avir		
pulac	名詞	我々の遊戯-text	2023/4/16		解説	（左に同じ）	plas		
nupan-leti	動詞	我々の遊戯-text	2023/4/16		複数だ	es eustira	ny + panleti.pmcp		
e pupcuk	動詞	我々の遊戯-text	2023/4/16		簡単だ	（左に同じ）	es fyrfsyk		
inixale	名詞	我々の遊戯-text	2023/4/16		授業	inirjixarle	iniixarle (waxljot fon inirjixarle)		
jecnup	名詞	我々の遊戯-text	2023/4/11		学校	（左に同じ）	jesnyp		
cela	名詞	我々の遊戯-text	2023/4/11		構造	（左に同じ）	cela		
pecela	名詞	我々の遊戯-text	2023/4/11		系統	（左に同じ）	fesela		
jule	名詞	我々の遊戯-text	2023/4/29		基本	（左に同じ）	gylery		
jule-leti	動詞	我々の遊戯-text	2023/4/29		基本的な	es gylerylen	gylery + leti		
neclanac	名詞	我々の遊戯-text	2023/4/11		種類	（左に同じ）	neslanas		
xane-leti	動詞	我々の遊戯-text	2023/4/11		面白い	（左に同じ）	xarne		
numolka-it	動詞	我々の遊戯-text	2023/4/11		負ける	nilirs	ny + molkka		
molipka-it	動詞	我々の遊戯-text	2023/4/11		負ける	nilirs	molkka + niv		
paujun	名詞	我々の遊戯-text	2023/4/5		基準	（左に同じ）	faiium, foiium		
enja	名詞	我々の遊戯-text	2023/4/5		仕事、役職	（左に同じ）	en'iar		
nocti	名詞	我々の遊戯-text	2023/4/5		特徴	（左に同じ）	snosti		
anpe	名詞	我々の遊戯-text	2023/4/5		力	（左に同じ）	anfi'e		
amol-it	動詞	我々の遊戯-text	2023/4/5		置く	（左に同じ）	amol		
pekenacit	名詞	我々の遊戯-text	2023/4/5		目指す、目標とする	（左に同じ）	fergen'artz		= XELIT ~ LETI CUL
melpetal	名詞	我々の遊戯-text	2023/4/5		索引、目次、名簿、目録、リスト、一覧	（左に同じ）	melfertal		
taxu	名詞	我々の遊戯-text	2023/4/5		遺跡	（左に同じ）	taxur		
icco	名詞	我々の遊戯-text	2023/4/4		国	（左に同じ）	icco		
lanukenic	名詞	我々の遊戯-text	2023/4/4		思い出	（左に同じ）	la ny kenis		
e acca	動詞	我々の遊戯-text	2023/4/4		豊かだ	es asca	asca		
alec.lin	名詞	【羅古論】目録	2023/1/14		アレス・リン	（左に同じ）	ales.lin		
e nace	動詞	【羅古論】目録	2023/1/14	悠F Discord	謝る、謝罪する	nacees	nace		
nexiju	名詞	【羅古論】目録	2023/1/14		六裁	net2 xy1.pk	net2 xy1.pk		
e nulowik	動詞	【羅古論】目録	2023/1/14	悠F Discord	遠い	es stienies	ny + lovik		
e lectenec	動詞		2023/1/14	悠F Discord	遠い	es stienies	le stienies		
e lowik	動詞	【羅古論】目録	2023/1/14	悠F Discord	近い	es lovik	lovik		
jacamal-it	動詞	【羅古論】目録	2023/1/14	悠F Discord	圧迫する、圧力をかける	jacamales	jacamal		
lapi	名詞	【羅古論】目録	2023/1/14	悠F Discord	心	（左に同じ）	larpi		
pinacta	名詞	【羅古論】目録	2023/1/14	悠F Discord	蜜	（左に同じ）	finastea		
-pina	拘束形態素		2023/1/14	悠F Discord	蜜	（左に同じ）	finastea		
nuwao	名詞	【羅古論】目録	2023/1/14		墨汁、墨液	（左に同じ）	nwafho, nua2 huo2.pk		
e belpic	動詞	机戦紹介スライド			遊ぶ	（左に同じ）	velfezes		
ie-xo-kat-iat	名詞	机戦紹介スライド			春夏秋冬（机戦）	iupqa'd paltauil (cerke)	iei2 xo1 kat2 iat1.pk		
inuci	名詞	PMCF ポスター			イヌシ（行政区画）		inuci.tk		
zuwo	名詞	PMCF ポスター			ツウォ（一日の百分の一）	xinesnenik	zuo1.pk		
keluc	名詞	PMCF ポスター	2022/10/13	悠F Discord	遊戯大会	kelux	alarta z'es rerxo		
penal	名詞	悠F Discord	2022/10/13	悠F Discord	座席	（左に同じ）	pernal		
etecel-it	動詞	悠F Discord	2022/10/13	悠F Discord	順位をつける	（左に同じ）	eteseles		
e etecel	動詞	悠F Discord	2022/10/13	悠F Discord	速度を出す		etecel.pmcp		協議の結果、ひとまず却下
etecel	名詞	悠F Discord	2022/10/13	悠F Discord	速さ、順位、～番目		jeteserl		
tecile	名詞	PMCF ポスター			名人	（左に同じ）	tesyler		
cuwelo	名詞	日本机戦連盟サイトPMCF訳	2022/10/8	日本机戦連盟サイトPMCF訳	丸	rafte	cwelo.ar	玉、団子	
cucpezen	名詞	日本机戦連盟サイトPMCF訳	2022/10/8	日本机戦連盟サイトPMCF訳	直線	cystfechen	cystfechen chai	直線的な	
autaklat	名詞	日本机戦連盟サイトPMCF訳	2022/10/7	日本机戦連盟サイトPMCF訳	矢印	（左に同じ）	altakrapt		
apijo	名詞	日本机戦連盟サイトPMCF訳	2022/10/7	日本机戦連盟サイトPMCF訳	印、マーク、記号	akrapt	afi’orj, áphíyo.bt		
wile	名詞	悠F Discord	2022/10/6	悠F Discord	冬	（左に同じ）	vyrle		
ule	名詞	悠F Discord	2022/10/6	悠F Discord	冬	（左に同じ）	vyrle		
pakile	名詞	悠F Discord	2022/10/6	悠F Discord	秋	（左に同じ）	fakirle		
nalau	名詞	悠F Discord	2022/10/6	悠F Discord	夏	（左に同じ）	naleru		
piji	名詞	悠F Discord	2022/10/6	悠F Discord	春	（左に同じ）	fir		
tan leti dec	複合名詞	日本机戦連盟サイトPMCF訳	2022/9/26	日本机戦連盟サイトPMCF訳	タムカラー	tamdejix	tam + letix + dejix		
nubepok leti dat	複合名詞	日本机戦連盟サイトPMCF訳	2022/9/25	日本机戦連盟サイトPMCF訳	同色でない役	voklisol z'es niv la dejixece	ny + bap pok.pmcp + leti.pmcp + dat.pmcp		
zik	名詞	日本机戦連盟サイトPMCF訳	2022/9/25	日本机戦連盟サイトPMCF訳	敵	（左に同じ）	zirk		
jujoj-it	動詞	リパライン語初級「第十回」	2022/7/6		料理する	jujojes	jujoj		-JI- ってどうなるの？
e kanti kije	複合動詞	リパライン語初級「第十回」	2022/7/6		勉強する、自習する		kanti + kile.pmcp		リパライン語 kanti そのものは e liju tude なので、*e liju tude kije を避けたものか。
linedelu	名詞	リパライン語初級「第十回」	2022/7/6		生物学	（左に同じ）	lynedelyr		
kectenebel	名詞	リパライン語初級「第十回」	2022/7/6		大学院	（左に同じ）	kestinebierl		
pomec	名詞	リパライン語初級「第十回」	2022/7/6		試験	（左に同じ）	pormerz		原典での表記 pomez を正規化。
bapala	名詞	日本机戦連盟サイトPMCF訳	2022/7/1	日本机戦連盟サイトPMCF訳	カード、チケット	vuviep vepalea fua icvergo fhasfa	vepalea		リパライン語 vepalea には「カード、チケット」と「板」の両義があるので、訳語欄は「なにかを受け取るための薄い vepalea」とする。
