語	品詞	語ソース	推定執筆日	議論ソース	意味（日）	意味（理）	語源（理）	［意味≠語源の時］語源の和訳	備考や案件
NUPATE	間投詞	NIPPON LETI BELPIC	2024/03/17		驚くべきことに	（左に同じ）	ny farte		
E NAIPE	動詞	NIPPON LETI BELPIC	2024/03/17		精巧である、緻密である	⌛	naipei.ar, naip2.pk	緻密さ	
DUXECTEN	形容詞	NIPPON LETI BELPIC	2024/03/17		理科の、理系の、数理系の	⌛	duxesten	理科の、理化学の	
E PULEN	動詞	NIPPON LETI BELPIC	2024/03/17		好意を抱いている・興味や関心や情熱を持っている	⌛	flern	大好きだ	E PULEN JO「～が大好きである」
LACU	名詞	NIPPON LETI BELPIC	2024/03/17		骨	（左に同じ）	larsu		
PUDE	名詞	NIPPON LETI BELPIC	2024/03/17		花	（左に同じ）	puder		
EWICTEN	形容詞	NIPPON LETI BELPIC	2024/03/17		値段の安い	evist	evist + -en	値段の安い	
ICTACLEJA	名詞	NIPPON LETI BELPIC	2024/03/18		面	（左に同じ）	ista xlear		
NIJACICEN	形容詞	NIPPON LETI BELPIC	2024/03/18		逆向きの	⌛	niacicen	逆向きの、反転した	(A e nijacicen jo B「A は B と逆向きである」)
EXETEN	形容詞	NIPPON LETI BELPIC	2024/03/19		（芸術作品が）「気品があり美しい」	⌛	exerten	（女性が）清楚な、美しい、気品のある	
CELUN	名詞	NIPPON LETI BELPIC	2024/03/19		子供	⌛	selun		
NOPON	名詞	NIPPON LETI BELPIC	2024/03/19		暴風雨	⌛	snopon	台風	
LEDI-IT	動詞	NIPPON LETI BELPIC	2024/03/19		からかう、軽く馬鹿にする	（左に同じ）	ledhi		
E KEBALA	動詞	NIPPON LETI BELPIC	2024/03/19		かっこいい	es kebala	kebala	かっこいい	
E PANKIJA	動詞	NIPPON LETI BELPIC	2024/03/19		梱包をほどく	（左に同じ）	fanhi'a		
PANKIJA	名詞	NIPPON LETI BELPIC	2024/03/19		梱包ほどき、開封	fanhi'avo	fanhi'a	梱包をほどく	
LAKLIP	名詞	NIPPON LETI BELPIC	2024/03/20		観光名所	glift	la glift	観光名所	
ANKALEPEN-IT	動詞	NIPPON LETI BELPIC	2024/03/20		試す、試用する、試みる、試行する	（左に同じ）	ankalefenes		
DEC-IT	動詞	NIPPON LETI BELPIC	2024/03/20		踏む、歩く	（左に同じ）	des		
NEKIJANIN	名詞	NIPPON LETI BELPIC	2024/03/20		手紙	（左に同じ）	niek1 hia1 nin1.pk		
NAMANA	名詞	NIPPON LETI BELPIC	2024/03/20		死神	（左に同じ）	namarna		
E DANKA-LETI	動詞	NIPPON LETI BELPIC	2024/03/20		立体的である	（左に同じ）	danqa	三次元、立体	
LALU	名詞	NIPPON LETI BELPIC	2024/03/20		尻尾	（左に同じ）	larru		
TEXOCIL	名詞	NIPPON LETI BELPIC	2024/03/20		夜	nukus	tiexos + -il	寝るとき	
E TEXOC	動詞	NIPPON LETI BELPIC	2024/03/20		寝る	（左に同じ）	tiexos		
CITEN-LETI	動詞	NIPPON LETI BELPIC	2024/03/20		孤独な、一人の	（左に同じ）	siteen		
E CIXEL	動詞	NIPPON LETI BELPIC	2024/03/20		掛かる、垂れる、ぶらさがる	（左に同じ）	stirdzel		
E LUPIT	動詞	NIPPON LETI BELPIC	2024/03/22		悔しい	（左に同じ）	lypit		
